datum,Broj registrovanih skucajeva,link
13-3-2020,31,http://www.batut.org.rs/index.php?category_id=202
13-3-2020,35,http://www.batut.org.rs/index.php?category_id=202
14-3-2020,41,https://covid19.rs/
15-3-2020,46,https://covid19.rs/
16-3-2020,55,https://covid19.rs/
17-3-2020,65,https://covid19.rs/
17-3-2020,72,https://covid19.rs/
18-3-2020,83,https://covid19.rs/
19-3-2020,97,https://covid19.rs/
20-3-2020,118,https://covid19.rs/
21-3-2020,149,https://covid19.rs/
22-3-2020,188,https://covid19.rs/
23-3-2020,222,https://covid19.rs/
24-3-2020,249,https://covid19.rs/
25-3-2020,303,https://covid19.rs/
26-3-2020,457,https://covid19.rs/
27-3-2020,528,https://covid19.rs/
30-3-2020,741,https://covid19.rs/
30-3-2020,785,https://covid19.rs/
31-3-2020,785,https://covid19.rs/
1-4-2020,1060,https://covid19.rs/
2-4-2020,1.171,https://covid19.rs/
3-4-2020,1.476,https://covid19.rs/
4-4-2020,1.624,https://covid19.rs/
5-4-2020,1.908,https://covid19.rs/
6-4-2020,2.200,https://covid19.rs/
8-4-2020,2.447,https://covid19.rs/
9-4-2020,2.666,https://covid19.rs/
9-4-2020,2867,https://covid19.rs/
10-4-2020,3105,https://covid19.rs/
11-4-2020,3380,https://covid19.rs/
12-4-2020,3630,https://covid19.rs/
25-4-2020,7483,https://covid19.rs/
